channel,airtime,title,episode,genre,subgenre,runtime,description,thumbnail,age_rating,cast
ENA[72],00:25:00,우리영화,9회,드라마,휴먼,75,소포모어 징크스에 자신을 옭아맨 채로 다음이 없이 살아가는 영화감독과 생의 끝에 다다라서야 비로소 인생의 주연으로 살아보려는 시한부 배우의 이야기,https://image.tmdb.org/t/p/w500/aXsgj6xhCkdvb10gwX4uiMo13SN.jpg,15세 이상,"남궁민, 전여빈, 서현우, 이설, 서이서"
ENA[72],01:40:00,전현무계획,7회,예능,토크쇼,85,"검색 No! 핫플 No! 전현무, 곽튜브의 지인, 그 지역 출신 연예인, 현지주민 혹은 이장님 등 철저히 남의 등에 업혀 무계획으로 가는 먹방 여행! 현지 주민, 식당 주인의 이야기를 담아내고, 동네의 맛을 오롯이 느끼는 길바닥 먹큐멘터리.",https://image.tmdb.org/t/p/w500/iF30vXC3Ry7pfPYY3iL6MpCVGd0.jpg,15세 이상,"전현무, 곽준빈"
ENA[72],03:05:00,지구마불 세계여행 3,5회,예능,여행,115,"노홍철, 주우재, 빠니보틀, 곽튜브, 이원지가 함께하는 예측불가 세계여행 버라이어티 프로그램. 주사위로 여행지를 결정하며 다양한 미션을 수행하고, 각자의 개성 넘치는 여행 스타일을 선보인다.",https://search.pstatic.net/common?type=f&size=176x244&quality=100&direct=true&src=https%3A%2F%2Fcsearch-phinf.pstatic.net%2F20250304_95%2F1741054914809d8ccp_PNG%2Fc3f4560468eb4befa4947973f8c2b4a2.png,전체 이용가,"노홍철, 주우재, 빠니보틀, 곽튜브, 이원지"
ENA[72],05:00:00,지구마불 세계여행 3,6회,예능,여행,125,"노홍철, 주우재, 빠니보틀, 곽튜브, 이원지가 함께하는 예측불가 세계여행 버라이어티 프로그램. 주사위로 여행지를 결정하며 다양한 미션을 수행하고, 각자의 개성 넘치는 여행 스타일을 선보인다.",https://search.pstatic.net/common?type=f&size=176x244&quality=100&direct=true&src=https%3A%2F%2Fcsearch-phinf.pstatic.net%2F20250304_95%2F1741054914809d8ccp_PNG%2Fc3f4560468eb4befa4947973f8c2b4a2.png,전체 이용가,"노홍철, 주우재, 빠니보틀, 곽튜브, 이원지"
ENA[72],07:05:00,전현무계획,8회,예능,토크쇼,85,"검색 No! 핫플 No! 전현무, 곽튜브의 지인, 그 지역 출신 연예인, 현지주민 혹은 이장님 등 철저히 남의 등에 업혀 무계획으로 가는 먹방 여행! 현지 주민, 식당 주인의 이야기를 담아내고, 동네의 맛을 오롯이 느끼는 길바닥 먹큐멘터리.",https://image.tmdb.org/t/p/w500/iF30vXC3Ry7pfPYY3iL6MpCVGd0.jpg,15세 이상,"전현무, 곽준빈"
ENA[72],08:30:00,트렌드 다큐 도시락,1회,예능,"쿡방_먹방, 교양",60,"도시인들의 건강, 라이프, 문화, 예술 등 다양한 소재를 즐겁게(樂) 꺼내보는 신개념 다큐멘터리. 트렌드 다큐도시락은 사회, 문화, 예술, 건강, 음식, 라이프 등 현대인이 직면한 이야기를 트렌디한 영상문법으로 즐겁게 풀어본다. 시청자들에게 트렌디한 소재와 정보를 전달하는 동시에 묵직한 질문과 깨달음을 인문학적으로 전달한다.",https://ktena.co.kr/data/file/variety/64f192ac8d12ad789d874b36756ac069_wQfK1szr_ab525ba010134493ae65044553eed3075c76528e.jpg,전체 이용가,정보 없음
ENA[72],09:30:00,내 아이의 사생활 태하,1회,예능,가족예능,50,"누구에게나 비밀은 있다! 어른들은 몰랐던 내 아이의 사생활, 궁금하셨나요? 내 아이에 대해서 잘 아는 것부터가 현명한 육아 및 교육의 시작! 부모가 없는 곳에서의 아이들의 기상천외한 일상이 이제 공개됩니다!",https://i.namu.wiki/i/nHfTkEOaEO5WEDMcXRixaCkjzELiMI6CcbGL6gMKGDbFdsPZTb3nh1JEVsk95i3s425xalP9N3lRuzPjChHUoZVf407e9GAjG1bGEKj-O1mTKy4JtAHUU08xIM6c8J7zKPSGrueK1sFPTZRwZWmQqA.webp,12세 이상,"도경완, 장윤정"
ENA[72],10:20:00,살롱 드 홈즈,7회,드라마,코미디,75,"광선주공아파트 추리력 만렙, 전직 에이스 형사와 보험왕, 그리고 알바의 여왕까지! 우리 단지 해결사로 뭉친 여성 4인방이 아파트 빌런을 응징하는 코믹 워맨스 활극",https://image.tmdb.org/t/p/w500/47MCvgws67hNpDZDqlsnUBotjfs.jpg,15세 이상,"이시영, 정영주, 김다솜, 남기애, 정상훈"
ENA[72],11:35:00,살롱 드 홈즈,8회,드라마,코미디,75,"광선주공아파트 추리력 만렙, 전직 에이스 형사와 보험왕, 그리고 알바의 여왕까지! 우리 단지 해결사로 뭉친 여성 4인방이 아파트 빌런을 응징하는 코믹 워맨스 활극",https://image.tmdb.org/t/p/w500/47MCvgws67hNpDZDqlsnUBotjfs.jpg,15세 이상,"이시영, 정영주, 김다솜, 남기애, 정상훈"
ENA[72],12:50:00,우리영화,9회,드라마,휴먼,75,소포모어 징크스에 자신을 옭아맨 채로 다음이 없이 살아가는 영화감독과 생의 끝에 다다라서야 비로소 인생의 주연으로 살아보려는 시한부 배우의 이야기,https://image.tmdb.org/t/p/w500/aXsgj6xhCkdvb10gwX4uiMo13SN.jpg,15세 이상,"남궁민, 전여빈, 서현우, 이설, 서이서"
